latitude,longitude,photon height,confidence code
-15.286384809886316,-75.16420790836963,190.24971,4
-15.286384793267155,-75.16420780625164,191.10156,4
-15.286384795563388,-75.16420782036103,190.98387,4
-15.286391219279677,-75.16420851032412,190.69455,4
-15.28639766260888,-75.1642093138791,189.4587,4
-15.286397630499447,-75.16420911658088,191.10454,4
-15.2863976220203,-75.16420906448025,191.53915,4
-15.286404043500683,-75.16420973844508,191.38373,4
-15.286404048218165,-75.16420976743186,191.14192,4
-15.28640403791262,-75.16420970410903,191.67017,4
-15.286410463021767,-75.16421040505595,191.28908,4
-15.286410462088611,-75.16421039932214,191.3369,4
-15.28641045785997,-75.16421037333916,191.55365,4
-15.2864168794517,-75.1642110458237,191.41103,4
-15.286416888104522,-75.16421109899098,190.96751,4
-15.286416888011324,-75.1642110984183,190.97229,4
-15.286416885751091,-75.1642110845303,191.08815,4
-15.286416883925455,-75.16421107331274,191.18172,4
-15.286423303865828,-75.16421173460371,191.1327,4
-15.286423310329223,-75.1642117743179,190.80142,4
-15.286436139978468,-75.16421303098838,191.25392,4
-15.286442577697663,-75.16421379852345,190.31934,4
-15.286442564471566,-75.1642137172567,190.99727,4
-15.28644256472045,-75.16421371878594,190.9845,4
-15.286448989058865,-75.1642144031526,190.74394,4
-15.28645540478048,-75.16421503364714,190.95302,4
-15.286461817901383,-75.16421564725906,191.30318,4
-15.286461818006872,-75.16421564790721,191.29778,4
-15.286461825586523,-75.16421569447931,190.90927,4
-15.286468283781101,-75.1642165841604,188.95673,4
-15.286474657971374,-75.16421695683546,191.31726,4
-15.286481076494132,-75.16421760107359,191.41267,4
-15.28648109076694,-75.16421768877002,190.68112,4
-15.286481075103737,-75.16421759253055,191.48395,4
-15.286487497696625,-75.16421826096983,191.37773,4
-15.286487505994634,-75.16421831195518,190.95242,4
-15.286487502237721,-75.16421828887162,191.14499,4
-15.286487499573793,-75.16421827250369,191.28152,4
-15.286493918703771,-75.16421891888302,191.35959,4
-15.286493920340924,-75.16421892894213,191.27568,4
-15.286500334439097,-75.16421954942697,191.5692,4
-15.286500339209926,-75.16421957874009,191.32468,4
-15.286500339128061,-75.16421957823711,191.32887,4
-15.286506762555343,-75.16422024952671,191.19966,4
-15.286506761721407,-75.1642202444028,191.2424,4
-15.286506759280252,-75.16422022940382,191.36752,4
-15.286506752311618,-75.16422018658703,191.7247,4
-15.28651318050471,-75.16422088644822,191.3574,4
-15.286513183063517,-75.16422090217003,191.22626,4
-15.28651319120962,-75.16422095222133,190.80873,4
-15.286513177380877,-75.1642208672548,191.51752,4
-15.286513192244566,-75.16422095858024,190.75569,4
-15.286513186395851,-75.1642209226446,191.05547,4
-15.286526026200137,-75.16422221266747,191.2376,4
-15.286526027614867,-75.16422222135976,191.16508,4
-15.286526029256857,-75.16422223144839,191.08093,4
-15.286526027589405,-75.16422222120332,191.1664,4
-15.286526020686036,-75.16422217878795,191.52022,4
-15.286538862546802,-75.16422349045547,191.52124,4
-15.286538862421473,-75.16422348968541,191.52766,4
-15.286545284313188,-75.16422414763774,191.51132,4
-15.286551706871325,-75.16422480911847,191.46582,4
-15.286558123342127,-75.16422543265601,191.73712,4
-15.286558123190408,-75.16422543172382,191.7449,4
-15.28655812629743,-75.16422545081356,191.58566,4
-15.286564543080763,-75.16422607536973,191.8488,4
-15.28656454728892,-75.16422610122476,191.63312,4
-15.286564543648568,-75.16422607885836,191.81969,4
-15.2865645452679,-75.16422608880757,191.7367,4
